地名,,燃焼ごみ,資源ごみ,大型複雑ごみ,小型複雑ごみ・有害危険ごみ
朝日が丘町,,水 土,火1 火3,火4,火2
朝日町,,月 木,水1 水3,水4,水2
青葉丘北・南,,火 金,月1 月3,月4,月2
青山台1丁目,,月 木,火2 火4,火1,火3
青山台2～4丁目,,月 木,火1 火3,火2,火4
泉町1丁目,,水 土,木2 木4,木1,木3
泉町2・3丁目,,水 土,火2 火4,火1,火3
泉町4・5丁目,,水 土,火1 火3,火2,火4
内本町1丁目,,月 木,水1 水3,水4,水2
内本町2・3丁目,,月 木,水2 水4,水3,水1
江坂町1丁目,,月 木,金1 金3,金2,金4
江坂町2丁目,,月 木,水1 水3,水2,水4
江坂町3・4丁目,,火 金,月2 月4,月1,月3
江坂町5丁目,,火 金,月1 月3,月2,月4
江の木町,,水 土,木1 木3,木2,木4
春日1～4丁目,,火 金,土2 土4,土1,土3
片山町1・3丁目,,水 土,火1 火3,火4,火2
片山町2丁目下記を除く,,水 土,木1 木3,木4,木2
片山町2丁目 12番,,火 金,土1 土3,土4,土2
片山町2丁目 16・17番,,水 土,火1 火3,火4,火2
片山町4丁目,,月 木,金1 金3,金4,金2
金田町,,水 土,火2 火4,火1,火3
上山手町,,月 木,水2 水4,水1,水3
川岸町,,水 土,火2 火4,火3,火1
川園町,,火 金,月2 月4,月3,月1
樫切山,,水 土,木2 木4,木3,木1
上山田,,水 土,火1 火3,火2,火4
岸部北1丁目,,月 木,水1 水3,水4,水2
岸部北2～5丁目,,月 木,水2 水4,水3,水1
岸部中1～5丁目,,月 木,金2 金4,金3,金1
岸部南1～3丁目,,火 金,土1 土3,土4,土2
寿町1丁目,,水 土,火2 火4,火3,火1
寿町2丁目,,水 土,火1 火3,火4,火2
佐井寺1・2丁目,,月 木,金2 金4,金1,金3
佐井寺3・4丁目,,月 木,金1 金3,金2,金4
佐井寺南が丘,,月 木,金2 金4,金1,金3
幸町,,火 金,土2 土4,土3,土1
佐竹台1・2丁目,,火 金,木2 木4,木1,木3
佐竹台3～6丁目,,水 土,金2 金4,金1,金3
五月が丘東・北,,水 土,木2 木4,木1,木3
五月が丘西・南,,月 木,水1 水3,水2,水4
昭和町,,月 木,金1 金3,金4,金2
清水,,火 金,月1 月3,月4,月2
尺谷,,月 木,金1 金3,金4,金2
新芦屋上,,火 金,月2 月4,月3,月1
新芦屋下,,火 金,土2 土4,土3,土1
吹東町,,火 金,土2 土4,土3,土1
末広町,,月 木,金1 金3,金4,金2
清和園町,,水 土,火2 火4,火3,火1
千里山東1・2丁目,,火 金,月1 月3,月4,月2
千里山東3丁目下記を除く,,火 金,土2 土4,土3,土1
千里山東3丁目1・5・6・7番,,月 木,水2 水4,水1,水3
千里山東4丁目下記を除く,,火 金,月2 月4,月3,月1
